,age,education,race,married,nodegree,trainning,earning75,earning78
1,3.70E+01,1.10E+01,black,1.00E+00,1.00E+00,1.00E+00,0.00E+00,9.93E+03
2,2.20E+01,9.00E+00,hispanic,0.00E+00,1.00E+00,1.00E+00,0.00E+00,3.60E+03
3,3.00E+01,1.20E+01,black,0.00E+00,0.00E+00,1.00E+00,0.00E+00,2.49E+04
4,2.70E+01,1.10E+01,black,0.00E+00,1.00E+00,1.00E+00,0.00E+00,7.51E+03
5,3.30E+01,8.00E+00,black,0.00E+00,1.00E+00,1.00E+00,0.00E+00,2.90E+02
6,2.20E+01,9.00E+00,black,0.00E+00,1.00E+00,1.00E+00,0.00E+00,4.06E+03
7,2.30E+01,1.20E+01,black,0.00E+00,0.00E+00,1.00E+00,0.00E+00,0.00E+00
8,3.20E+01,1.10E+01,black,0.00E+00,1.00E+00,1.00E+00,0.00E+00,8.47E+03
9,2.20E+01,1.60E+01,black,0.00E+00,0.00E+00,1.00E+00,0.00E+00,2.16E+03
10,3.30E+01,1.20E+01,white,1.00E+00,0.00E+00,1.00E+00,0.00E+00,1.24E+04
11,1.90E+01,9.00E+00,black,0.00E+00,1.00E+00,1.00E+00,0.00E+00,8.17E+03
12,2.10E+01,1.30E+01,black,0.00E+00,0.00E+00,1.00E+00,0.00E+00,1.71E+04
13,1.80E+01,8.00E+00,black,0.00E+00,1.00E+00,1.00E+00,0.00E+00,0.00E+00
14,2.70E+01,1.00E+01,black,1.00E+00,1.00E+00,1.00E+00,0.00E+00,1.87E+04
15,1.70E+01,7.00E+00,black,0.00E+00,1.00E+00,1.00E+00,0.00E+00,3.02E+03
16,1.90E+01,1.00E+01,black,0.00E+00,1.00E+00,1.00E+00,0.00E+00,3.23E+03
17,2.70E+01,1.30E+01,black,0.00E+00,0.00E+00,1.00E+00,0.00E+00,1.46E+04
18,2.30E+01,1.00E+01,black,0.00E+00,1.00E+00,1.00E+00,0.00E+00,7.69E+03
19,4.00E+01,1.20E+01,black,0.00E+00,0.00E+00,1.00E+00,0.00E+00,1.08E+04
20,2.60E+01,1.20E+01,black,0.00E+00,0.00E+00,1.00E+00,0.00E+00,1.07E+04
21,2.30E+01,1.10E+01,black,0.00E+00,1.00E+00,1.00E+00,0.00E+00,0.00E+00
22,4.10E+01,1.40E+01,white,0.00E+00,0.00E+00,1.00E+00,0.00E+00,5.15E+03
23,3.80E+01,9.00E+00,white,0.00E+00,1.00E+00,1.00E+00,0.00E+00,6.41E+03
24,2.40E+01,1.10E+01,black,0.00E+00,1.00E+00,1.00E+00,0.00E+00,1.99E+03
25,3.30E+01,1.10E+01,black,0.00E+00,1.00E+00,1.00E+00,7.87E+03,6.28E+03
26,1.80E+01,1.00E+01,black,0.00E+00,1.00E+00,1.00E+00,0.00E+00,1.12E+04
27,2.90E+01,1.10E+01,black,1.00E+00,1.00E+00,1.00E+00,0.00E+00,9.64E+03
28,2.50E+01,1.10E+01,black,0.00E+00,1.00E+00,1.00E+00,0.00E+00,9.90E+03
29,2.70E+01,1.00E+01,hispanic,0.00E+00,1.00E+00,1.00E+00,0.00E+00,1.11E+04
30,1.70E+01,1.00E+01,black,0.00E+00,1.00E+00,1.00E+00,0.00E+00,1.62E+04
31,2.40E+01,1.10E+01,black,0.00E+00,1.00E+00,1.00E+00,0.00E+00,9.96E+02
32,1.70E+01,1.00E+01,black,0.00E+00,1.00E+00,1.00E+00,0.00E+00,0.00E+00
33,2.60E+01,1.10E+01,black,1.00E+00,1.00E+00,1.00E+00,2.75E+03,2.64E+04
34,4.80E+01,4.00E+00,black,0.00E+00,1.00E+00,1.00E+00,0.00E+00,6.55E+03
35,2.50E+01,1.10E+01,black,1.00E+00,1.00E+00,1.00E+00,0.00E+00,1.57E+03
36,2.00E+01,1.20E+01,black,0.00E+00,0.00E+00,1.00E+00,0.00E+00,0.00E+00
37,2.50E+01,1.20E+01,black,0.00E+00,0.00E+00,1.00E+00,0.00E+00,3.19E+03
38,4.20E+01,1.40E+01,black,0.00E+00,0.00E+00,1.00E+00,0.00E+00,2.05E+04
39,2.50E+01,5.00E+00,black,0.00E+00,1.00E+00,1.00E+00,0.00E+00,6.18E+03
40,2.30E+01,1.20E+01,black,1.00E+00,0.00E+00,1.00E+00,0.00E+00,5.91E+03
41,4.60E+01,8.00E+00,black,1.00E+00,1.00E+00,1.00E+00,0.00E+00,3.09E+03
42,2.40E+01,1.00E+01,black,0.00E+00,1.00E+00,1.00E+00,0.00E+00,0.00E+00
43,2.10E+01,1.20E+01,black,0.00E+00,0.00E+00,1.00E+00,0.00E+00,1.25E+03
44,1.90E+01,9.00E+00,white,0.00E+00,1.00E+00,1.00E+00,0.00E+00,1.32E+04
45,1.70E+01,8.00E+00,black,0.00E+00,1.00E+00,1.00E+00,0.00E+00,8.06E+03
46,1.80E+01,8.00E+00,hispanic,1.00E+00,1.00E+00,1.00E+00,0.00E+00,2.79E+03
47,2.00E+01,1.10E+01,black,0.00E+00,1.00E+00,1.00E+00,0.00E+00,3.97E+03
48,2.50E+01,1.10E+01,black,1.00E+00,1.00E+00,1.00E+00,0.00E+00,0.00E+00
49,1.70E+01,8.00E+00,black,0.00E+00,1.00E+00,1.00E+00,0.00E+00,0.00E+00
50,1.70E+01,9.00E+00,black,0.00E+00,1.00E+00,1.00E+00,0.00E+00,0.00E+00
51,2.50E+01,5.00E+00,black,0.00E+00,1.00E+00,1.00E+00,0.00E+00,1.22E+04
52,2.30E+01,1.20E+01,black,0.00E+00,0.00E+00,1.00E+00,0.00E+00,4.84E+03
53,2.80E+01,8.00E+00,black,0.00E+00,1.00E+00,1.00E+00,0.00E+00,0.00E+00
54,3.10E+01,1.10E+01,black,1.00E+00,1.00E+00,1.00E+00,0.00E+00,8.09E+03
55,1.80E+01,1.10E+01,black,0.00E+00,1.00E+00,1.00E+00,0.00E+00,0.00E+00
56,2.50E+01,1.20E+01,black,0.00E+00,0.00E+00,1.00E+00,0.00E+00,2.35E+03
57,3.00E+01,1.10E+01,black,1.00E+00,1.00E+00,1.00E+00,0.00E+00,5.91E+02
58,1.70E+01,1.00E+01,black,0.00E+00,1.00E+00,1.00E+00,0.00E+00,0.00E+00
59,3.70E+01,9.00E+00,black,0.00E+00,1.00E+00,1.00E+00,0.00E+00,1.07E+03
60,4.10E+01,4.00E+00,black,1.00E+00,1.00E+00,1.00E+00,0.00E+00,7.28E+03
61,4.20E+01,1.40E+01,black,1.00E+00,0.00E+00,1.00E+00,0.00E+00,1.32E+04
62,2.20E+01,1.10E+01,white,0.00E+00,1.00E+00,1.00E+00,0.00E+00,1.05E+03
63,1.70E+01,8.00E+00,black,0.00E+00,1.00E+00,1.00E+00,0.00E+00,0.00E+00
64,2.90E+01,8.00E+00,black,0.00E+00,1.00E+00,1.00E+00,0.00E+00,1.92E+03
65,2.80E+01,1.00E+01,black,0.00E+00,1.00E+00,1.00E+00,2.84E+03,3.20E+03
66,3.50E+01,1.00E+01,black,0.00E+00,1.00E+00,1.00E+00,0.00E+00,4.67E+03
67,2.70E+01,1.10E+01,black,0.00E+00,1.00E+00,1.00E+00,0.00E+00,5.49E+02
68,2.90E+01,4.00E+00,black,0.00E+00,1.00E+00,1.00E+00,0.00E+00,7.63E+02
69,2.80E+01,9.00E+00,black,0.00E+00,1.00E+00,1.00E+00,0.00E+00,1.07E+04
70,2.70E+01,1.10E+01,black,0.00E+00,1.00E+00,1.00E+00,0.00E+00,0.00E+00
71,2.30E+01,7.00E+00,white,0.00E+00,1.00E+00,1.00E+00,0.00E+00,0.00E+00
72,4.50E+01,5.00E+00,black,1.00E+00,1.00E+00,1.00E+00,0.00E+00,8.55E+03
73,2.90E+01,1.30E+01,black,0.00E+00,0.00E+00,1.00E+00,0.00E+00,7.48E+03
74,2.70E+01,9.00E+00,black,0.00E+00,1.00E+00,1.00E+00,0.00E+00,0.00E+00
75,4.60E+01,1.30E+01,black,0.00E+00,0.00E+00,1.00E+00,0.00E+00,6.47E+02
76,1.80E+01,6.00E+00,black,0.00E+00,1.00E+00,1.00E+00,0.00E+00,0.00E+00
77,2.50E+01,1.20E+01,black,0.00E+00,0.00E+00,1.00E+00,0.00E+00,1.20E+04
78,2.80E+01,1.50E+01,black,0.00E+00,0.00E+00,1.00E+00,0.00E+00,9.60E+03
79,3.10E+01,9.00E+00,black,0.00E+00,1.00E+00,1.00E+00,1.70E+03,1.04E+04
80,2.50E+01,1.10E+01,white,0.00E+00,1.00E+00,1.00E+00,0.00E+00,1.88E+04
81,2.20E+01,1.20E+01,black,0.00E+00,0.00E+00,1.00E+00,0.00E+00,1.87E+04
82,2.80E+01,1.10E+01,black,0.00E+00,1.00E+00,1.00E+00,1.28E+03,6.03E+04
83,2.10E+01,9.00E+00,black,0.00E+00,1.00E+00,1.00E+00,0.00E+00,0.00E+00
84,4.00E+01,1.10E+01,black,0.00E+00,1.00E+00,1.00E+00,0.00E+00,2.30E+04
85,2.20E+01,1.10E+01,black,0.00E+00,1.00E+00,1.00E+00,0.00E+00,6.46E+03
86,2.50E+01,1.20E+01,black,0.00E+00,0.00E+00,1.00E+00,0.00E+00,0.00E+00
87,2.70E+01,9.00E+00,black,1.00E+00,1.00E+00,1.00E+00,9.34E+02,1.77E+03
88,2.30E+01,1.00E+01,black,1.00E+00,1.00E+00,1.00E+00,9.36E+02,1.12E+04
89,2.90E+01,1.00E+01,black,0.00E+00,1.00E+00,1.00E+00,4.40E+03,0.00E+00
90,1.80E+01,1.20E+01,black,0.00E+00,0.00E+00,1.00E+00,0.00E+00,2.32E+03
91,3.80E+01,1.20E+01,white,0.00E+00,0.00E+00,1.00E+00,0.00E+00,4.94E+03
92,2.70E+01,1.30E+01,black,0.00E+00,0.00E+00,1.00E+00,0.00E+00,0.00E+00
93,2.70E+01,8.00E+00,black,0.00E+00,1.00E+00,1.00E+00,0.00E+00,0.00E+00
94,3.80E+01,1.10E+01,black,0.00E+00,1.00E+00,1.00E+00,0.00E+00,0.00E+00
95,2.30E+01,8.00E+00,hispanic,0.00E+00,1.00E+00,1.00E+00,0.00E+00,3.88E+03
96,2.60E+01,1.10E+01,black,0.00E+00,1.00E+00,1.00E+00,0.00E+00,1.72E+04
97,4.20E+01,9.00E+00,black,1.00E+00,1.00E+00,1.00E+00,3.06E+03,1.29E+03
98,2.10E+01,1.20E+01,white,0.00E+00,0.00E+00,1.00E+00,0.00E+00,8.05E+03
99,2.50E+01,8.00E+00,black,0.00E+00,1.00E+00,1.00E+00,0.00E+00,0.00E+00
100,3.10E+01,1.10E+01,black,1.00E+00,1.00E+00,1.00E+00,0.00E+00,1.45E+04
101,1.70E+01,1.00E+01,black,0.00E+00,1.00E+00,1.00E+00,0.00E+00,0.00E+00
102,1.90E+01,8.00E+00,black,0.00E+00,1.00E+00,1.00E+00,2.66E+03,9.97E+03
103,2.90E+01,1.40E+01,black,0.00E+00,0.00E+00,1.00E+00,6.80E+02,1.78E+04
104,2.50E+01,1.10E+01,black,0.00E+00,1.00E+00,1.00E+00,0.00E+00,0.00E+00
105,2.10E+01,1.20E+01,black,0.00E+00,0.00E+00,1.00E+00,0.00E+00,9.98E+03
106,4.40E+01,1.10E+01,black,0.00E+00,1.00E+00,1.00E+00,0.00E+00,0.00E+00
107,1.90E+01,1.00E+01,black,0.00E+00,1.00E+00,1.00E+00,3.85E+02,8.12E+03
108,2.50E+01,1.20E+01,white,0.00E+00,0.00E+00,1.00E+00,0.00E+00,5.59E+03
109,1.80E+01,1.00E+01,black,0.00E+00,1.00E+00,1.00E+00,7.99E+02,9.74E+03
